amount,reclat,reclong
42306278,-5.31368,-83.77416
40926562,34.20878,6.20364
8706361,-81.51895,50.2842
43908265,8.93011,-69.64578
14956208,-49.65036,73.07522
44792534,18.63229,45.11455
1562124,-84.01631,-51.77328
18050586,28.25634,11.40215
26127939,-22.27132,74.27278
32514473,52.49429,-85.30171
25297335,-42.63302,13.8799
46154308,59.50865,97.43968
10067247,-44.55897,-2.36375
27370467,90.5334,96.21582
34963888,-21.94467,23.46486
43480723,48.17669,-14.70884
10415982,-55.47322,61.42058
39563973,88.17746,53.16814
43942442,-34.4449,-65.43783
32839493,82.84073,30.34828
23995474,-33.92137,81.47862
18809014,28.9471,-98.90387
43082124,-12.86189,80.32361
2461911,44.62155,47.57798
47457879,-46.01723,-54.85697
39296055,45.82974,71.75152
45665827,-31.11145,44.29721
11945408,76.99568,-82.76188
15471933,-92.25313,52.82515
34350820,63.71716,46.8082
37627924,-80.18002,-60.55996
5895245,57.44841,35.52576
26966949,-67.24439,90.57724
1755162,77.1091,-97.76324
34870873,-8.38801,95.87278
30629005,12.40098,90.77873
20076730,-78.99814,-47.28649
43065424,1.54591,44.01006
33378002,-47.77276,92.1418
14100145,32.10688,-66.47661
48255567,-5.92311,82.20524
20171183,41.9094,19.45749
45740660,-91.40124,-44.85746
33394768,53.75757,38.42831
23169729,-34.81198,22.37287
43839828,8.30758,-10.84512
7675692,-18.99739,80.42277
8758358,23.37277,56.17139
41089228,-36.27462,-82.32224
41397699,5.05812,24.02768
26606845,-89.03431,24.03821
4716045,2.39472,-29.73734
15668985,-58.6129,35.44272
37104403,78.55224,64.49226
33954376,-45.3758,-17.03311
21914831,61.54999,45.1225
33437877,-66.36165,63.66306
34403439,92.28693,-53.38231
42809789,-41.85453,97.83046
16666427,73.55302,57.86774
29164945,-19.55063,-77.47884
8301867,99.30309,16.07429
43786225,-96.9434,45.05842
29911969,52.03618,-89.98265
30804935,-31.79483,78.57923
48281247,50.65757,5.42605
25705626,-52.9717,-72.85833
16086000,58.57406,60.68534
9980086,-79.48821,1.13017
33911005,13.12759,-81.63127
42265747,-49.77722,51.34239
29825712,90.21325,59.04914
462535,-83.91807,-73.12093
31803113,18.9438,92.26357
3665015,-81.77385,67.41474
44219476,40.79523,-21.8877
13432991,-55.94019,45.39513
10446713,58.00359,54.57706
17978861,-24.95014,-92.54146
6902299,36.93043,65.36268
20208763,-36.36808,58.92331
12086927,95.71601,-19.15136
3756249,-35.93387,90.77128
32787663,21.85227,79.48514
13128987,-42.47125,-12.52835
38762082,95.40749,88.10107
32735398,-94.52926,69.12482
32375896,46.48912,-46.14746
32781830,-33.45115,8.49996
13524506,31.21411,84.28088
26114850,-61.33389,-96.76707
34618522,71.12919,3.50807
46997495,-72.94903,86.227
38145691,28.61366,-50.63354
20446335,-81.40752,36.48347
15060604,1.40689,54.15395
12629003,-77.98566,-43.83211
7844286,65.10873,20.91218
4001104,-81.24289,64.41027
23559471,94.8828,-96.96464
6147422,-63.97975,85.293
6027313,21.98015,64.35731
9024021,-81.23395,-17.15812
39351399,77.19487,7.076
14729577,-49.43071,70.24132
16023868,9.00914,-27.59917
23699862,-90.93977,75.72431
16561892,99.67731,22.84009
18574172,-18.53213,-79.37409
37665287,1.6978,97.81282
31032903,-41.07935,32.04078
49724787,63.22789,-38.67502
20397035,-90.01856,99.52185
8701972,10.05105,91.54081
1577765,-13.38147,-15.73429
11743947,53.04921,91.32395
30652554,-84.39234,66.01649
11932999,9.09801,-65.3545
39271102,-92.83251,10.21684
25996501,46.20919,78.06233
48038730,-44.01981,-32.46235
14128947,83.81956,11.34081
40670620,-17.61033,29.63671
25998954,37.52208,-19.34253
7190562,-43.00462,5.24671
6504425,94.66533,70.53668
46782478,-47.10327,-27.5492
43286768,92.81399,28.99874
12873114,-62.86097,80.0201
27043486,72.26006,-44.2964
20597395,-34.841,50.08901
20055903,62.36159,99.24821
8440074,-53.6148,-73.7076
13522496,11.37975,80.14113
14631940,-77.86552,41.7633
10623141,64.77366,-44.24179
31526299,-85.40171,88.97363
18997069,42.89679,29.22039
26538804,-61.46501,-31.55339
5223762,65.71419,96.47304
33690365,-89.60596,73.35262
11835008,2.31197,-8.31144
29394899,-19.63288,21.84934
10263899,50.28648,59.87766
8423162,-30.51441,-30.66612
12777690,38.57416,97.6595
27876181,-5.80246,5.25326
34676794,94.53415,-84.50598
31150430,-96.62819,91.21042
18850394,47.03476,15.05594
6673539,-86.41308,-9.31451
47024981,62.16048,4.85968
27387646,-12.35715,28.60373
18845682,66.45892,-80.37656
19394257,-47.14296,3.6498
19231213,37.07241,82.73385
402100,-34.54024,-23.63001
20651688,8.31342,83.23484
45566369,-74.76166,22.43793
32704231,52.55523,-21.38763
26457057,-14.76671,83.30073
36208021,45.91823,16.12798
44683679,-51.10724,-47.5746
11968388,68.44777,58.86198
25796089,-7.53802,34.41048
15289383,62.10922,-49.58278
15509328,-32.39977,30.96559
43977408,94.09942,62.52729
15310496,-87.43122,-99.83769
22494960,20.94239,53.92025
36374791,-74.52043,64.6079
23799740,69.19975,-33.65893
36727372,-22.09488,40.10648
33766188,53.0239,37.47812
15923306,-58.87659,-40.79222
24455249,92.17348,2.92491
23692059,-64.8235,38.47686
36467750,49.68711,-56.97129
43324646,-91.40896,55.03073
12440312,95.72977,93.67153
9734635,-45.20563,-2.67427
30831158,73.36629,59.76423
45444929,-99.24882,38.16591
26271955,67.40878,-91.65207
286082,-87.99766,89.43327
18631993,56.39793,61.81248
26091720,-9.64659,-69.50537
11441437,2.56371,94.28141
28305156,-49.42327,6.79164
16299147,15.07227,-85.34128
48370200,-89.22299,93.4022
11092677,87.61264,66.14712
7999741,-69.26514,-72.74532
47529552,94.50612,18.79266
3274943,-49.01005,41.95517
31770520,33.06564,-98.25524
21193826,-30.45154,57.18649
35013588,74.56195,52.39452
21970271,-52.10787,-71.73231
34659834,13.30229,48.987
12923613,-23.22309,70.6885
25964005,14.27743,-16.68646
35347306,-27.59503,16.30607
48894384,92.64711,39.20331
36552648,-97.90634,-73.96048
29751205,12.4751,48.34644
43051997,-41.12642,62.2076
38357367,94.43266,-44.0922
10532732,-50.82951,67.12065
4089990,52.02969,92.05679
4238537,-29.08392,-73.67239
20948189,47.14716,77.80801
26158073,-8.33534,99.65153
38640838,58.67709,-46.94342
36565587,-56.46772,42.55424
35290513,16.22288,76.60815
14698372,-60.51761,-91.93987
29969483,38.49269,21.1156
5338771,-42.13009,31.34913
42706109,6.08272,-37.36989
32110329,-0.36295,54.58629
42348109,37.34279,46.5161
46663693,-80.58558,-29.9194
29140317,30.09334,55.38471
39576157,-58.40208,94.01191
7492607,16.62103,-1.81038
539599,-5.374,88.81073
48442510,61.78867,22.1178
33695440,-85.10263,-57.24092
22634241,6.434,84.39498
28198667,-78.50479,57.38286
33640904,52.59115,-74.78692
21519574,-65.49655,67.35709
36622350,98.58042,7.64677
819952,-17.95541,-70.46417
43916562,49.64071,68.44487
37017868,-86.02382,12.70019
45832882,85.55935,-81.17769
42886322,-22.48231,76.08822
28517581,51.07732,57.99927
28923130,-13.67473,-9.93215
34042578,42.21967,30.88387
17307220,-27.02508,0.39004
34519257,59.94046,-21.29029
18950394,-52.44016,22.84708
21940758,31.18602,52.91964
10284964,-74.1133,-77.89948
27926383,3.33101,19.89579
40981963,-68.22636,42.34684
8414887,78.91649,-98.40378
39001219,-44.53231,38.69314
23043277,20.26155,35.00107
36732447,-41.42026,-29.48075
32992378,32.20764,77.74956
8032072,-11.48389,67.48508
6636784,26.0708,-53.98749
34100503,-27.47608,52.35583
34103818,65.16214,61.97371
25928654,-39.60333,-70.88219
49377208,85.4892,45.06053
5948824,-17.89578,33.78746
